X,Y,Z,Type
750249.8685,2318968.121,763.88,Divide
750141.7917,2318595.848,824.97,Divide
750053.3653,2318223.575,879.18,Divide
750092.6659,2317841.477,917.63,Divide
750038.0476,2317455.046,953.55,Divide
756321.8174,2301017.553,366.51,Divide
756223.5658,2301399.651,421.89,Divide
756117.6553,2301793.741,485.71,Divide
756076.1884,2302173.673,542.02,Divide
755977.9368,2302575.421,612.28,Divide
755830.5594,2302928.044,681.81,Divide
755683.182,2303261.016,687.46,Divide
755535.8046,2303613.638,740.14,Divide
757994.2609,2315372.112,183.88,Divide
757533.5615,2315372.112,328.08,Divide
757180.9389,2315264.035,406.19,Divide
756808.666,2315332.811,506.63,Divide
756416.7428,2315244.385,617.41,Divide
752155.9495,2316413.579,1014,Divide
752009.6553,2316099.174,1046.8,Divide
751967.1052,2315715.993,1148.5,Divide
747302.3205,2305497.826,196.65,Divide
747645.1179,2305537.127,282.88,Divide
749110.1499,2304348.282,225.51,Divide
749011.8983,2304414.892,179.43,Divide
755103.4975,2322750.807,191.05,Divide
755015.0711,2322358.884,274.11,Divide
754818.5679,2322075.037,348.09,Divide
754641.715,2321751.89,352.71,Divide
754445.2118,2321448.393,340.17,Divide
754307.6596,2321125.246,346.03,Divide
754068.5295,2320864.376,398.34,Divide
754108.9133,2320500.845,442.16,Divide
754012.9048,2320136.155,479.68,Divide
753924.4783,2319724.581,575.24,Divide
753817.408,2319370.952,609.02,Divide
753804.4868,2318958.295,677.85,Divide
746221.5529,2317150.466,599.1,Divide
746339.4548,2323811.924,198.77,Divide
746634.2096,2323606.679,225.13,Divide
743853.6893,2309928.973,131.02,Divide
744217.2203,2310065.442,181.94,Divide
744588.41,2310174.602,235.1,Divide
745068.7597,2310174.602,307.19,Divide
746516.3077,2324008.428,178.27,Divide
746702.9857,2323695.106,224.06,Divide
756724.6489,2315647.216,498.34,Divide
756459.3696,2315412.496,564.31,Divide
757688.5978,2305733.63,380.34,Divide
757316.3249,2305625.553,531.05,Divide
756845.8003,2305655.029,700.76,Divide
756463.7023,2305713.98,812.06,Divide
756042.3035,2305733.63,940.39,Divide
755719.1564,2305812.231,992.87,Divide
752607.9069,2321483.361,515.24,Divide
758188.5978,2312159.285,237.1,Divide
757904.7513,2311943.131,342.29,Divide
757512.8281,2311874.355,486.58,Divide
757150.3803,2311992.257,578.96,Divide
756184.2651,2321394.935,306,Divide
755988.8451,2321149.306,297,Divide
755793.4251,2320884.027,323.87,Divide
755693.0071,2320543.396,369.14,Divide
755575.1052,2320220.248,420.87,Divide
755211.5743,2320083.779,491.93,Divide
755172.2737,2319780.283,516.08,Divide
747705.1521,2305458.526,287.63,Divide
747803.4037,2307413.732,663.02,Divide
748216.0604,2307383.174,769.23,Divide
748616.7256,2307384.257,938.59,Divide
744266.3461,2315784.769,351.55,Divide
744609.1435,2315647.216,387.89,Divide
744904.9815,2315659.208,432.43,Divide
745176.8365,2315431.063,503.32,Divide
754170.1073,2312866.696,1328,Divide
753953.9538,2312582.85,1432.6,Divide
750554.4485,2316354.628,1076.1,Divide
750544.6233,2315982.355,1113.2,Divide
750367.7704,2315659.208,1179.9,Divide
744679.0028,2309958.449,232.58,Divide
745013.0582,2310124.393,293.12,Divide
754504.1628,2303355.941,757.22,Divide
754583.8472,2303758.773,829.06,Divide
754415.7363,2304090.662,886.59,Divide
