IX,width_m,length_m
1,422.732,3702.949
1,442.394,3702.949
1,481.718,3702.949
1,471.888,3702.949
1,363.745,3702.949
1,393.238,3702.949
1,412.901,3702.949
1,412.901,3702.949
1,334.252,3702.949
1,294.928,3702.949
1,285.097,3702.949
1,314.59,3702.949
1,265.435,3702.949
1,304.758,3702.949
1,334.251,3702.949
1,547.368,3702.949
1,493.28,3702.949
1,440.52,3702.949
1,451.93,3702.949
1,568.538,3702.949
1,604.529,3702.949
1,602.572,3702.949
1,580.249,3702.949
1,501.382,3702.949
1,550.538,3702.949
1,678.342,3702.949
1,776.652,3702.949
1,471.888,3702.949
1,471.888,3702.949
1,471.889,3702.949
1,491.551,3702.949
1,384.168,3702.949
1,267.782,3702.949
1,70.469,3702.949
1,424.541,3702.949
1,436.906,3702.949
1,467.094,3702.949
1,458.533,3702.949
2,846.725,7334.973
2,836.88,7334.973
2,827.035,7334.973
2,807.344,7334.973
2,728.575,7334.973
2,758.113,7334.973
2,787.65,7334.973
2,856.57,7334.973
2,748.265,7334.973
2,748.265,7334.973
2,738.42,7334.973
2,767.957,7334.973
2,748.263,7334.973
2,758.109,7334.973
2,728.573,7334.973
2,738.419,7334.973
2,590.744,7334.973
2,531.67,7334.973
2,531.67,7334.973
2,541.516,7334.973
2,620.28,7334.973
2,610.434,7334.973
2,600.589,7334.973
2,590.744,7334.973
2,689.198,7334.973
2,610.433,7334.973
2,600.588,7334.973
2,620.279,7334.973
2,846.727,7334.973
2,827.036,7334.973
2,807.345,7334.973
2,787.654,7334.973
2,886.09,7334.973
2,895.936,7334.973
2,876.246,7334.973
2,836.864,7334.973
2,758.098,7334.973
2,787.634,7334.973
2,827.017,7334.973
2,886.09,7334.973
2,886.086,7334.973
2,846.705,7334.973
2,836.86,7334.973
2,758.097,7334.973
2,590.723,7334.973
2,689.177,7334.973
2,807.322,7334.973
2,767.952,7334.973
2,758.107,7334.973
2,767.953,7334.973
2,777.799,7334.973
2,886.097,7334.973
2,856.561,7334.973
2,797.488,7334.973
2,748.261,7334.973
2,836.867,7334.973
2,876.249,7334.973
2,915.632,7334.973
2,905.787,7334.973
2,807.329,7334.973
2,787.638,7334.973
2,797.484,7334.973
2,807.33,7334.973
2,216.608,7334.973
2,206.762,7334.973
2,149.355,7334.973
2,393.831,7334.973
2,246.145,7334.973
2,187.07,7334.973
2,206.762,7334.973
2,541.517,7334.973
2,521.825,7334.973
2,482.443,7334.973
2,472.597,7334.973
3,996.669,7824.302
3,935.649,7824.302
3,884.799,7824.302
3,864.46,7824.302
3,1028.048,7824.302
3,1028.049,7824.302
3,1028.049,7824.302
3,1047.519,7824.302
3,1038.224,7824.302
3,1038.225,7824.302
3,1038.225,7824.302
3,1028.051,7824.302
3,1099.293,7824.302
3,1109.473,7824.302
3,1058.58,7824.302
3,1058.581,7824.302
3,925.488,7824.302
3,887.929,7824.302
3,905.148,7824.302
3,915.319,7824.302
3,783.103,7824.302
3,833.954,7824.302
3,854.295,7824.302
3,935.657,7824.302
3,879.993,7824.302
3,833.952,7824.302
3,776.365,7824.302
3,762.762,7824.302
3,844.12,7824.302
3,823.78,7824.302
3,813.61,7824.302
3,813.611,7824.302
3,1071.179,7824.302
3,1007.674,7824.302
3,1007.674,7824.302
3,977.139,7824.302
3,1089.099,7824.302
3,1150.17,7824.302
